Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Symbol
2025-10-07 19:30:00,4462.53,4495.3,4459.15,4479.44,12480.4409,2025-10-07 19:59:59.999,55881907.287136,112590,6167.9157,27615875.564171,ETHUSDT
2025-10-07 20:00:00,4479.48,4513.41,4476.22,4512.45,10079.6156,2025-10-07 20:29:59.999,45358783.241044,93731,5880.3183,26457001.169776,ETHUSDT
2025-10-07 20:30:00,4512.45,4517.09,4505.76,4509.3,5470.1158,2025-10-07 20:59:59.999,24683529.162529,72218,2665.8265,12030236.534253,ETHUSDT
2025-10-07 21:00:00,4509.29,4513.98,4500.78,4512.45,4527.2953,2025-10-07 21:29:59.999,20413818.066631,77404,1760.3498,7937423.980238,ETHUSDT
2025-10-07 21:30:00,4512.45,4512.56,4480.44,4493.46,5799.6909,2025-10-07 21:59:59.999,26073545.265338,84614,1968.6384,8847377.597124,ETHUSDT
2025-10-07 22:00:00,4493.47,4506.06,4483.11,4499.74,4412.1294,2025-10-07 22:29:59.999,19839822.210378,93599,2507.83,11278602.457665,ETHUSDT
2025-10-07 22:30:00,4499.74,4505.4,4491.79,4498.19,3289.6541,2025-10-07 22:59:59.999,14800466.014965,51956,1545.4067,6953173.565283,ETHUSDT
2025-10-07 23:00:00,4498.2,4499.29,4469.17,4473.34,7869.445,2025-10-07 23:29:59.999,35286675.657403,85738,3495.7481,15678578.306649,ETHUSDT
2025-10-07 23:30:00,4473.35,4473.35,4430.43,4447.7,13893.7578,2025-10-07 23:59:59.999,61824682.247675,128276,5098.5382,22682573.964145,ETHUSDT
2025-10-08 00:00:00,4447.7,4466.58,4445.61,4456.44,11684.331,2025-10-08 00:29:59.999,52068870.284033,122068,7302.7357,32539087.517827,ETHUSDT
2025-10-08 00:30:00,4456.44,4481.02,4434.31,4471.6,10444.27,2025-10-08 00:59:59.999,46590181.797958,145664,5328.3751,23783948.502417,ETHUSDT
2025-10-08 01:00:00,4471.6,4487.25,4457.5,4480.04,7096.8907,2025-10-08 01:29:59.999,31731209.561567,121506,2887.2905,12916414.872767,ETHUSDT
2025-10-08 01:30:00,4480.05,4489.36,4475.9,4483.02,4327.1312,2025-10-08 01:59:59.999,19397904.866911,90704,2163.8178,9701576.187712,ETHUSDT
2025-10-08 02:00:00,4483.03,4498.22,4476.26,4497.43,5208.117,2025-10-08 02:29:59.999,23375430.501126,85903,2972.0372,13340427.764602,ETHUSDT
2025-10-08 02:30:00,4497.44,4498.0,4471.34,4480.83,7125.825,2025-10-08 02:59:59.999,31944080.306992,74689,2862.6649,12835337.390694,ETHUSDT
2025-10-08 03:00:00,4480.83,4480.83,4435.75,4441.73,10604.0584,2025-10-08 03:29:59.999,47243310.292858,138772,3177.4883,14150102.646438,ETHUSDT
2025-10-08 03:30:00,4441.74,4450.64,4433.68,4443.6,6688.3345,2025-10-08 03:59:59.999,29707343.008589,139350,3234.7813,14368880.804136,ETHUSDT
2025-10-08 04:00:00,4443.59,4452.84,4410.08,4446.74,18971.4742,2025-10-08 04:29:59.999,84066915.248632,169820,9914.9953,43953583.765384,ETHUSDT
2025-10-08 04:30:00,4446.74,4465.5,4446.74,4461.63,5921.7183,2025-10-08 04:59:59.999,26405281.725404,75658,3793.0779,16915276.694209,ETHUSDT
2025-10-08 05:00:00,4461.64,4461.97,4424.04,4433.67,9841.4547,2025-10-08 05:29:59.999,43718742.479944,107601,4098.4252,18207401.553949,ETHUSDT
2025-10-08 05:30:00,4433.67,4440.5,4421.05,4437.49,5817.3764,2025-10-08 05:59:59.999,25787853.060839,107853,2440.3921,10818138.162145,ETHUSDT
2025-10-08 06:00:00,4437.5,4453.46,4424.17,4443.35,6646.7985,2025-10-08 06:29:59.999,29513223.793764,95665,3062.6196,13600144.487622,ETHUSDT
2025-10-08 06:30:00,4443.35,4458.42,4438.66,4455.6,5703.8627,2025-10-08 06:59:59.999,25379374.409923,81550,3271.7615,14560102.83709,ETHUSDT
2025-10-08 07:00:00,4455.6,4463.08,4446.05,4451.63,6128.5637,2025-10-08 07:29:59.999,27292744.638798,101343,2088.2251,9298808.011235,ETHUSDT
2025-10-08 07:30:00,4451.63,4464.7,4442.74,4463.48,9858.2727,2025-10-08 07:59:59.999,43897551.36818,87982,7212.2616,32117579.940337,ETHUSDT
2025-10-08 08:00:00,4463.48,4476.95,4458.22,4472.37,8013.5549,2025-10-08 08:29:59.999,35802315.461616,83496,5385.2417,24064097.07784,ETHUSDT
2025-10-08 08:30:00,4472.37,4496.83,4469.94,4475.51,18346.0808,2025-10-08 08:59:59.999,82285165.069261,130695,8881.1394,39817170.81881,ETHUSDT
2025-10-08 09:00:00,4475.5,4484.0,4471.28,4476.97,4292.6007,2025-10-08 09:29:59.999,19222769.700959,65652,2618.7512,11726858.195213,ETHUSDT
2025-10-08 09:30:00,4476.97,4484.62,4473.92,4484.39,3319.0508,2025-10-08 09:59:59.999,14867845.9331,67947,1896.7759,8497030.098847,ETHUSDT
2025-10-08 10:00:00,4484.39,4494.15,4479.61,4488.01,4627.3838,2025-10-08 10:29:59.999,20763012.114841,74390,2436.6526,10933884.7263,ETHUSDT
2025-10-08 10:30:00,4488.0,4504.68,4485.45,4500.08,11172.4703,2025-10-08 10:59:59.999,50245311.241434,76640,7107.7181,31968421.142015,ETHUSDT
2025-10-08 11:00:00,4500.09,4506.85,4489.64,4493.3,5106.8027,2025-10-08 11:29:59.999,22974212.243425,59440,2291.6393,10310521.577306,ETHUSDT
2025-10-08 11:30:00,4493.29,4493.3,4483.0,4487.3,3122.8328,2025-10-08 11:59:59.999,14014867.730809,53595,1551.1328,6960974.50147,ETHUSDT
2025-10-08 12:00:00,4487.3,4496.66,4473.25,4479.97,7790.1343,2025-10-08 12:29:59.999,34901992.746204,83923,4680.0457,20963614.574833,ETHUSDT
2025-10-08 12:30:00,4479.97,4484.33,4469.05,4477.85,3892.7375,2025-10-08 12:59:59.999,17425439.644593,80565,1562.6543,6995544.581204,ETHUSDT
2025-10-08 13:00:00,4477.86,4490.71,4469.1,4476.79,8217.7939,2025-10-08 13:29:59.999,36837806.663993,99619,5737.823,25727719.060086,ETHUSDT
